number_of_clicks,acoustic,fishing_net,behavior,beacon,date,number,net,audio_names
0,T,F,DEPL,DOL3,12/07/2020,5,chalut_blanc,SCW1807_20200712_101200
948,D,F,CHAS,DOL7,11/07/2020,12,chalut_vert,SCW1807_20200711_114000
113,T,F,DEPL,DOL1,16/07/2020,5,tremail,SCW1807_20200716_094100
25,D+AP,F,SOCI,DOL1,16/07/2020,4,tremail,SCW1807_20200716_074100
172,D,F,DEPL,DOL1,16/07/2020,7,tremail,SCW1807_20200716_095500
877,T,F,DEPL,DOL5,13/07/2020,8,chalut_vert,SCW1807_20200713_073200
204,T,F,DEPL,DOL5,13/07/2020,8,chalut_vert,SCW1807_20200713_073500
99,D,SSF,DEPL,DOL1,16/07/2020,6,SSF,SCW1807_20200716_071400
46,T,SSF,SOCI,DOL5,13/07/2020,4,SSF,SCW1807_20200713_094600
632,D+AP,SSF,DEPL,DOL1_N26,17/07/2020,3,SSF,SCW1807_20200717_111900
655,T,F,DEPL,DOL1,16/07/2020,5,tremail,SCW1807_20200716_093300
647,D,SSF,DEPL,DOL4,11/07/2020,7,SSF,SCW1807_20200711_084200
2,AP,F,SOCI,DOL1,16/07/2020,4,tremail,SCW1807_20200716_074200
6,AV,SSF,DEPL,NC,16/07/2020,6,SSF,SCW1807_20200716_065500
272,D,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_073600
1093,D,SSF,SOCI,DOL1_N26,17/07/2020,7,SSF,SCW1807_20200717_112700
1169,D,F,DEPL,DOL1,16/07/2020,6,tremail,SCW1807_20200716_090000
304,T,F,DEPL,DOL1,16/07/2020,5,tremail,SCW1807_20200716_093200
1443,AV+D,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_095400
108,D,SSF,DEPL,DOL1,16/07/2020,6,SSF,SCW1807_20200716_065700
573,AV+D,F,DEPL,DOL1,16/07/2020,7,tremail,SCW1807_20200716_095200
89,D+AP,F,DEPL,DOL1_N26,17/07/2020,10,tremail,SCW1807_20200717_092100
1529,D,F,DEPL,DOL1_N26,17/07/2020,12,tremail,SCW1807_20200717_081100
41,D,F,DEPL,DOL1,16/07/2020,5,tremail,SCW1807_20200716_090700
122,T,F,DEPL,DOL5,13/07/2020,8,chalut_vert,SCW1807_20200713_073700
608,D,F,DEPL,DOL3_N36,18/07/2020,3,chalut_vert,SCW1807_20200718_080000
828,D,SSF,DEPL,DOL4,11/07/2020,4,SSF,SCW1807_20200711_083800
114,T,SSF,DEPL,DDD,17/07/2020,15,SSF,SCW1807_20200717_094700
400,D,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_074800
44,D,F,DEPL,DOL1,12/07/2020,4,tremail,SCW1807_20200712_133000
20,D,SSF,DEPL,DC70,11/07/2021,5,SSF,SCW6070_20210711_073500
175,AV,SSF,DEPL,NC,09/07/2021,6,SSF,SCW6070_20210709_095300
35,D,SSF,DEPL,DC70,11/07/2021,5,SSF,SCW6070_20210711_074100
252,D,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_071000
12,AV+D,SSF,DEPL,DC70,11/07/2021,5,SSF,SCW6070_20210711_074000
1302,D,SSF,DEPL,DOL1,12/07/2020,3,SSF,SCW1807_20200712_114900
250,AV+D,F,DEPL,DOL3_N36,18/07/2020,3,chalut_vert,SCW1807_20200718_080700
1051,D,F,DEPL,DOL1_N26,17/07/2020,5,tremail,SCW1807_20200717_090000
71,D,SSF,CHAS,DOL1,16/07/2020,6,SSF,SCW1807_20200716_083400
908,AV+D,F,DEPL,DOL3,11/07/2020,4,chalut_blanc,SCW1807_20200711_132000
890,AV+D,SSF,SOCI,DOL4,11/07/2020,8,SSF,SCW1807_20200711_085300
119,D+AP,SSF,SOCI,DOL1_N26,17/07/2020,7,SSF,SCW1807_20200717_112800
180,D,SSF,DEPL,DOL1,16/07/2020,6,SSF,SCW1807_20200716_071200
368,D,SSF,SOCI,DOL4,11/07/2020,8,SSF,SCW1807_20200711_090200
98,AP,F,DEPL,DOL3_N36,18/07/2020,4,chalut_vert,SCW1807_20200718_081600
79,D,SSF,DEPL,DOL7,13/07/2020,12,SSF,SCW1807_20200713_115100
37,T,F,DEPL,DOL5,13/07/2020,10,chalut_vert,SCW1807_20200713_065000
1234,D,SSF,DEPL,DOL4,11/07/2020,4,SSF,SCW1807_20200711_083900
1,T,SSF,DEPL,DDD,17/07/2020,15,SSF,SCW1807_20200717_094300
12,AV,SSF,DEPL,NC,11/07/2020,12,SSF,SCW1807_20200711_082600
249,D+AP,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_075100
123,D,F,DEPL,DOL1_N26,17/07/2020,10,tremail,SCW1807_20200717_092000
3,T,SSF,SOCI,DOL5,13/07/2020,6,SSF,SCW1807_20200713_081900
842,T,F,DEPL,DOL3,12/07/2020,15,chalut_blanc,SCW1807_20200712_094000
1433,D,SSF,DEPL,DOL4,11/07/2020,4,SSF,SCW1807_20200711_084000
783,D,F,SOCI,DOL1,16/07/2020,6,tremail,SCW1807_20200716_073000
62,T,F,DEPL,DOL3_N36,18/07/2020,2,chalut_vert,SCW1807_20200718_075700
824,AV+D,F,CHAS,DOL1,16/07/2020,8,tremail,SCW1807_20200716_100600
0,T,F,DEPL,DOL1,12/07/2020,6,tremail,SCW1807_20200712_131100
428,T,F,DEPL,DOL3_N36,18/07/2020,2,chalut_vert,SCW1807_20200718_075500
1244,T,F,DEPL,DOL3,12/07/2020,15,chalut_blanc,SCW1807_20200712_093900
4,T,F,DEPL,DOL5,12/07/2020,2,chalut_vert,SCW1807_20200712_140400
29,T,F,DEPL,DOL3,14/07/2020,3,chalut_blanc,SCW1807_20200714_091100
45,T,SSF,SOCI,DOL5,13/07/2020,4,SSF,SCW1807_20200713_094500
1,D+AP,SSF,DEPL,DC70,18/07/2021,12,SSF,SCW6070_20210718_090200
299,D,F,DEPL,DC,09/07/2021,6,grand_filet,SCW6070_20210709_100200
364,AP,F,DEPL,DOL1_N26,17/07/2020,4,tremail,SCW1807_20200717_090400
2110,D,F,DEPL,DOL4,12/07/2020,12,chalut_blanc,SCW1807_20200712_090700
648,D+AP,SSF,CHAS,DC,09/07/2021,12,SSF,SCW6070_20210709_121300
2308,T,F,DEPL,DOL5,13/07/2020,10,chalut_vert,SCW1807_20200713_071900
97,D,F,DEPL,DOL7,11/07/2020,6,chalut_vert,SCW1807_20200711_115900
47,T,SSF,SOCI,DOL5,13/07/2020,5,SSF,SCW1807_20200713_091600
681,AP,SSF,CHAS,DC,09/07/2021,12,SSF,SCW6070_20210709_121400
308,D,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_073900
0,AP,SSF,DEPL,DC70,18/07/2021,12,SSF,SCW6070_20210718_091400
113,AV+D,SSF,CHAS,DOL1,16/07/2020,15,SSF,SCW1807_20200716_083300
1073,D,SSF,SOCI,DOL1_N26,17/07/2020,7,SSF,SCW1807_20200717_112600
713,D,SSF,DEPL,DOL6,13/07/2020,6,SSF,SCW1807_20200713_075600
656,D,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_070700
25,D,F,DEPL,DOL7,11/07/2020,5,chalut_vert,SCW1807_20200711_101800
0,D,SSF,DEPL,DC70,18/07/2021,12,SSF,SCW6070_20210718_090100
443,D,SSF,DEPL,DC,09/07/2021,14,SSF,SCW6070_20210709_085900
158,D+AP,F,DEPL,DOL1,16/07/2020,6,tremail,SCW1807_20200716_073400
4,T,F,DEPL,DOL5,13/07/2020,8,chalut_vert,SCW1807_20200713_074000
217,D+AP,F,DEPL,DOL5,13/07/2020,10,chalut_vert,SCW1807_20200713_064000
0,AP,F,DEPL,DOL3,11/07/2020,11,chalut_blanc,SCW1807_20200711_132300
312,AP,F,DEPL,DOL1_N26,17/07/2020,4,tremail,SCW1807_20200717_090500
218,AV,SSF,DEPL,NC,18/07/2021,12,SSF,SCW6070_20210718_090500
0,AV,SSF,DEPL,NC,18/07/2021,12,SSF,SCW6070_20210718_085800
197,D+AP,F,DEPL,DOL3,11/07/2020,4,chalut_blanc,SCW1807_20200711_131900
245,AV,F,DEPL,NC,11/07/2020,4,chalut_blanc,SCW1807_20200711_123400
255,T,SSF,CHAS,DC,09/07/2021,15,SSF,SCW6070_20210709_104100
225,T,SSF,DEPL,DOL3,14/07/2020,5,SSF,SCW1807_20200714_064200
116,D,SSF,DEPL,DOL4,11/07/2020,7,SSF,SCW1807_20200711_084300
508,T,F,DEPL,DOL1,16/07/2020,5,tremail,SCW1807_20200716_093700
2,D,F,DEPL,DOL3_N36,18/07/2020,20,chalut_vert,SCW1807_20200718_085900
783,D,F,SOCI,DOL1,16/07/2020,4,tremail,SCW1807_20200716_073900
370,D+AP,F,CHAS,DOL3_N36,18/07/2020,10,chalut_vert,SCW1807_20200718_084600
325,D,F,DEPL,DOL3_N36,18/07/2020,1,chalut_vert,SCW1807_20200718_081100
16,D+AP,SSF,SOCI,DOL4,11/07/2020,8,SSF,SCW1807_20200711_090700
296,AV+D,F,DEPL,DOL3_N36,17/07/2020,8,chalut_vert,SCW1807_20200717_065000
175,T,F,DEPL,DOL3_N36,18/07/2020,2,chalut_vert,SCW1807_20200718_075600
616,D,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_074900
178,D+AP,F,DEPL,DOL4,11/07/2020,5,chalut_blanc,SCW1807_20200711_094100
2266,AV+D,SSF,DEPL,DOL6,13/07/2020,6,SSF,SCW1807_20200713_075500
425,D,F,DEPL,DOL3_N36,18/07/2020,1,chalut_vert,SCW1807_20200718_081000
2,T,SSF,SOCI,DOL5,13/07/2020,6,SSF,SCW1807_20200713_082100
70,T,SSF,DEPL,DDD,17/07/2020,15,SSF,SCW1807_20200717_094500
2221,D,F,CHAS,DOL1,16/07/2020,8,tremail,SCW1807_20200716_100700
810,AV+D,SSF,DEPL,DOL1_N26,17/07/2020,5,SSF,SCW1807_20200717_111700
5,T,SSF,SOCI,DOL5,13/07/2020,6,SSF,SCW1807_20200713_092300
210,T,SSF,DEPL,DOL3,14/07/2020,6,SSF,SCW1807_20200714_085700
350,D,SSF,SOCI,DOL4,11/07/2020,8,SSF,SCW1807_20200711_090300
0,D+AP,SSF,DEPL,DC70,18/07/2021,12,SSF,SCW6070_20210718_100700
16,T,F,DEPL,DOL5,12/07/2020,2,chalut_vert,SCW1807_20200712_140300
1603,AV+D,SSF,SOCI,DOL1_N26,17/07/2020,7,SSF,SCW1807_20200717_112500
1301,D,F,CHAS,DOL7,11/07/2020,12,chalut_vert,SCW1807_20200711_114200
334,AV,F,DEPL,NC,13/07/2020,10,chalut_vert,SCW1807_20200713_064100
368,AV+D,F,DEPL,DOL5,12/07/2020,5,chalut_vert,SCW1807_20200712_134200
39,D,F,DEPL,DOL1,16/07/2020,6,tremail,SCW1807_20200716_073300
83,D,SSF,CHAS,DOL1,16/07/2020,6,SSF,SCW1807_20200716_083500
457,D,F,DEPL,DOL1_N26,17/07/2020,20,tremail,SCW1807_20200717_084300
275,D,F,DEPL,DC,09/07/2021,6,grand_filet,SCW6070_20210709_100300
414,D,F,DEPL,DOL1,12/07/2020,3,tremail,SCW1807_20200712_132800
375,D+AP,F,DEPL,DOL3_N36,17/07/2020,5,chalut_vert,SCW1807_20200717_070600
244,AP,SSF,DEPL,DC,09/07/2021,14,SSF,SCW6070_20210709_090100
48,T,SSF,SOCI,DOL5,13/07/2020,5,SSF,SCW1807_20200713_092600
1627,T,F,DEPL,DOL5,13/07/2020,8,chalut_vert,SCW1807_20200713_073300
122,AV,SSF,DEPL,NC,11/07/2020,12,SSF,SCW1807_20200711_082400
1107,AV+D,F,DEPL,DOL4,12/07/2020,12,chalut_blanc,SCW1807_20200712_090500
112,AP,SSF,CHAS,DC,09/07/2021,12,SSF,SCW6070_20210709_121500
1186,AV+D,F,DEPL,DOL3_N36,18/07/2020,20,chalut_vert,SCW1807_20200718_085800
528,D,F,CHAS,DOL1,16/07/2020,8,tremail,SCW1807_20200716_101100
148,AV,SSF,DEPL,NC,17/07/2020,5,SSF,SCW1807_20200717_111600
1,T,F,DEPL,DOL5,12/07/2020,6,chalut_vert,SCW1807_20200712_140800
88,AP,F,DEPL,DOL1_N26,17/07/2020,4,tremail,SCW1807_20200717_090800
159,AP,F,DEPL,DOL1,16/07/2020,6,tremail,SCW1807_20200716_073500
235,D,F,DEPL,DOL4,12/07/2020,12,chalut_blanc,SCW1807_20200712_090900
363,D,F,DEPL,DOL1_N26,17/07/2020,10,tremail,SCW1807_20200717_091900
404,D,F,DEPL,DOL1,12/07/2020,3,tremail,SCW1807_20200712_115200
733,D,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_095800
1090,AV+D,F,DEPL,DOL3_N36,17/07/2020,12,chalut_vert,SCW1807_20200717_071400
77,T,SSF,SOCI,DOL5,13/07/2020,5,SSF,SCW1807_20200713_092500
397,AP,F,DEPL,DOL3_N36,17/07/2020,12,chalut_vert,SCW1807_20200717_071600
45,T,SSF,DEPL,DOL5,13/07/2020,6,SSF,SCW1807_20200713_081700
749,AV+D,SSF,DEPL,DC,09/07/2021,14,SSF,SCW6070_20210709_085600
0,AP,F,DEPL,DOL1,12/07/2020,6,tremail,SCW1807_20200712_132200
67,T,F,DEPL,DOL5,13/07/2020,8,chalut_vert,SCW1807_20200713_085500
674,T,F,DEPL,DOL5,13/07/2020,12,chalut_vert,SCW1807_20200713_064600
13,T,F,DEPL,DOL1,12/07/2020,6,tremail,SCW1807_20200712_130900
16,D+AP,SSF,DEPL,DC70,18/07/2021,12,SSF,SCW6070_20210718_090800
191,D,F,DEPL,DOL1,16/07/2020,5,tremail,SCW1807_20200716_090500
365,AV,SSF,DEPL,NC,16/07/2020,6,SSF,SCW1807_20200716_071100
457,D,F,DEPL,DOL4,11/07/2020,8,chalut_blanc,SCW1807_20200711_093700
74,D,SSF,CHAS,DOL1,16/07/2020,40,SSF,SCW1807_20200716_082700
329,D,F,DEPL,DOL7,11/07/2020,6,chalut_vert,SCW1807_20200711_115800
244,AP,F,DEPL,DC,09/07/2021,6,grand_filet,SCW6070_20210709_100600
957,AV+D,F,DEPL,DOL5,13/07/2020,10,chalut_vert,SCW1807_20200713_064200
1028,D,F,DEPL,DOL4,12/07/2020,12,chalut_blanc,SCW1807_20200712_090800
211,D,F,DEPL,DOL1,16/07/2020,4,tremail,SCW1807_20200716_104800
264,T,SSF,DEPL,DOL3,14/07/2020,6,SSF,SCW1807_20200714_085600
659,D,SSF,CHAS,DC,09/07/2021,12,SSF,SCW6070_20210709_121200
70,T,F,DEPL,DOL1,16/07/2020,5,tremail,SCW1807_20200716_093000
47,AP,F,DEPL,DOL1_N26,17/07/2020,10,tremail,SCW1807_20200717_092300
1273,D,F,DEPL,DOL4,11/07/2020,4,chalut_blanc,SCW1807_20200711_123500
1397,D,F,CHAS,DOL7,11/07/2020,8,chalut_vert,SCW1807_20200711_115100
191,T,F,DEPL,DOL5,12/07/2020,3,chalut_vert,SCW1807_20200712_135600
144,T,F,DEPL,DOL1,16/07/2020,5,tremail,SCW1807_20200716_093100
2,T,SSF,SOCI,DOL5,13/07/2020,5,SSF,SCW1807_20200713_092700
3,T,SSF,DEPL,DC70,11/07/2021,10,SSF,SCW6070_20210711_060000
57,AP,F,DEPL,DOL3_N36,18/07/2020,10,chalut_vert,SCW1807_20200718_085000
0,D+AP,F,DEPL,DOL1_N26,17/07/2020,25,tremail,SCW1807_20200717_083900
103,D+AP,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_074000
463,D,SSF,SOCI,DOL4,11/07/2020,8,SSF,SCW1807_20200711_085700
221,D,SSF,SOCI,DOL6,13/07/2020,6,SSF,SCW1807_20200713_075900
2,AV,F,CHAS,NC,18/07/2020,6,chalut_vert,SCW1807_20200718_080600
1,AV,SSF,CHAS,NC,11/07/2020,15,SSF,SCW1807_20200711_082700
148,AP,F,DEPL,DOL3_N36,17/07/2020,12,chalut_vert,SCW1807_20200717_071700
397,D,F,DEPL,DOL4,11/07/2020,8,chalut_blanc,SCW1807_20200711_093500
160,D+AP,F,DEPL,DOL3_N36,17/07/2020,8,chalut_vert,SCW1807_20200717_065400
244,AP,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_075200
160,AP,F,DEPL,DOL1_N26,17/07/2020,7,tremail,SCW1807_20200717_081500
1901,D,SSF,DEPL,DOL7,13/07/2020,15,SSF,SCW1807_20200713_114300
16,AP,F,DEPL,DOL3_N36,18/07/2020,10,chalut_vert,SCW1807_20200718_082500
11,T,F,DEPL,DOL5,13/07/2020,10,chalut_vert,SCW1807_20200713_072100
534,T,SSF,DEPL,DOL3,14/07/2020,5,SSF,SCW1807_20200714_064300
620,D,SSF,DEPL,DC,09/07/2021,14,SSF,SCW6070_20210709_085700
81,D,F,SOCI,DOL1,16/07/2020,7,tremail,SCW1807_20200716_095900
721,AV+D,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_074700
135,D,F,DEPL,DOL1,16/07/2020,7,tremail,SCW1807_20200716_095400
931,D,SSF,CHAS,DC,09/07/2021,12,SSF,SCW6070_20210709_121000
809,AP,F,DEPL,DOL1,16/07/2020,5,tremail,SCW1807_20200716_102200
103,AV+D,SSF,DEPL,DC70,18/07/2021,12,SSF,SCW6070_20210718_085900
14,T,F,DEPL,DOL5,13/07/2020,8,chalut_vert,SCW1807_20200713_085700
1926,AP,F,DEPL,DOL1_N26,17/07/2020,7,tremail,SCW1807_20200717_081400
77,D,F,DEPL,DOL4,11/07/2020,5,chalut_blanc,SCW1807_20200711_093900
442,D,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_070900
244,AP,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_071400
106,D+AP,F,DEPL,DOL1_N26,17/07/2020,7,tremail,SCW1807_20200717_082000
291,D,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_075000
48,D,SSF,DEPL,DOL4,11/07/2020,7,SSF,SCW1807_20200711_084500
6,AP,F,DEPL,DOL1_N26,17/07/2020,20,tremail,SCW1807_20200717_084500
0,AP,F,DEPL,DOL1_N26,17/07/2020,10,tremail,SCW1807_20200717_092400
25,T,F,DEPL,DOL5,13/07/2020,8,chalut_vert,SCW1807_20200713_085200
18,D,F,DEPL,DOL7,11/07/2020,5,chalut_vert,SCW1807_20200711_101900
604,D,F,DEPL,DOL1,16/07/2020,3,tremail,SCW1807_20200716_102400
81,AV+D,F,DEPL,DOL1_N26,17/07/2020,25,tremail,SCW1807_20200717_083800
706,D,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_070800
1213,D,F,DEPL,DOL7,11/07/2020,6,chalut_vert,SCW1807_20200711_115600
71,T,F,DEPL,DOL5,12/07/2020,6,chalut_vert,SCW1807_20200712_140600
187,D,SSF,SOCI,DOL4,11/07/2020,8,SSF,SCW1807_20200711_085800
244,AP,F,DEPL,DC,09/07/2021,6,grand_filet,SCW6070_20210709_100500
274,D+AP,SSF,DEPL,DC,09/07/2021,14,SSF,SCW6070_20210709_090000
480,AV,SSF,DEPL,NC,13/07/2020,15,SSF,SCW1807_20200713_114200
39,T,SSF,DEPL,DDD,17/07/2020,15,SSF,SCW1807_20200717_094400
31,AP,F,DEPL,DOL1_N26,17/07/2020,7,tremail,SCW1807_20200717_081700
46,D+AP,SSF,DEPL,DOL7,13/07/2020,15,SSF,SCW1807_20200713_114400
29,D,SSF,SOCI,DOL4,11/07/2020,8,SSF,SCW1807_20200711_090600
1157,AV+D,SSF,DEPL,DOL4,11/07/2020,4,SSF,SCW1807_20200711_083700
1141,T,F,DEPL,DOL3_N36,18/07/2020,2,chalut_vert,SCW1807_20200718_075400
33,T,SSF,SOCI,DOL5,13/07/2020,5,SSF,SCW1807_20200713_091400
2509,D,F,DEPL,DOL4,12/07/2020,12,chalut_blanc,SCW1807_20200712_090600
0,D+AP,SSF,DEPL,DC70,18/07/2021,12,SSF,SCW6070_20210718_091300
1516,D,SSF,SOCI,DOL4,11/07/2020,8,SSF,SCW1807_20200711_085400
1,T,SSF,DEPL,DDD,17/07/2020,15,SSF,SCW1807_20200717_094200
177,D+AP,F,DEPL,DOL4,11/07/2020,4,chalut_blanc,SCW1807_20200711_123600
888,D,F,DEPL,DOL1_N26,17/07/2020,12,tremail,SCW1807_20200717_080900
8,D,F,DEPL,DOL7,11/07/2020,5,chalut_vert,SCW1807_20200711_102000
1168,D,F,SOCI,DOL1,16/07/2020,7,tremail,SCW1807_20200716_095700
3,T,SSF,DEPL,DOL3,14/07/2020,6,SSF,SCW1807_20200714_085800
18,D,SSF,DEPL,DOL7,13/07/2020,12,SSF,SCW1807_20200713_115200
0,AP,SSF,DEPL,DC70,11/07/2021,5,SSF,SCW6070_20210711_073900
673,D,SSF,DEPL,DOL1_N26,17/07/2020,3,SSF,SCW1807_20200717_111800
0,AP,F,DEPL,DOL4,11/07/2020,5,chalut_blanc,SCW1807_20200711_094200
264,D+AP,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_071100
193,AV+D,F,DEPL,DOL3_N36,18/07/2020,3,chalut_vert,SCW1807_20200718_075900
130,AV,SSF,DEPL,NC,16/07/2020,40,SSF,SCW1807_20200716_082300
37,T,F,DEPL,DOL3,12/07/2020,5,chalut_blanc,SCW1807_20200712_101100
1721,D+AP,F,DEPL,DOL1,16/07/2020,8,tremail,SCW1807_20200716_101200
6,T,F,DEPL,DOL5,13/07/2020,8,chalut_vert,SCW1807_20200713_074100
685,AV+D,F,DEPL,DOL1_N26,17/07/2020,12,tremail,SCW1807_20200717_080800
336,AV,SSF,DEPL,NC,09/07/2021,14,SSF,SCW6070_20210709_085500
2262,AV,SSF,DEPL,NC,09/07/2021,12,SSF,SCW6070_20210709_120800
542,D+AP,F,DEPL,DOL1,16/07/2020,5,tremail,SCW1807_20200716_102100
68,AP,F,DEPL,DOL5,12/07/2020,3,chalut_vert,SCW1807_20200712_134900
