number_of_clicks,acoustic,fishing_net,behavior,beacon,date,number,net,audio_names
36,D+AP,F,DEPL,DOL1,16/07/2020,5,tremail,SCW1807_20200716_090800
793,D+AP,F,DEPL,DOL5,13/07/2020,10,chalut_vert,SCW1807_20200713_064300
792,D,F,DEPL,DOL3_N36,17/07/2020,8,chalut_vert,SCW1807_20200717_065100
70,AV,F,DEPL,NC,12/07/2020,4,tremail,SCW1807_20200712_132600
1379,AV+D,F,CHAS,DOL3_N36,18/07/2020,10,chalut_vert,SCW1807_20200718_082200
333,D,F,DEPL,DC,09/07/2021,6,grand_filet,SCW6070_20210709_100000
1029,D,F,DEPL,DOL1_N26,17/07/2020,20,tremail,SCW1807_20200717_081200
244,T,F,DEPL,DC,09/07/2021,14,grand_filet,SCW6070_20210709_103000
157,T,F,DEPL,DOL1,16/07/2020,5,tremail,SCW1807_20200716_093900
680,T,F,DEPL,DOL1,16/07/2020,5,tremail,SCW1807_20200716_093400
114,D+AP,F,DEPL,DOL3,11/07/2020,11,chalut_blanc,SCW1807_20200711_132100
124,T,F,DEPL,DOL3,12/07/2020,15,chalut_blanc,SCW1807_20200712_094400
846,D,F,CHAS,DOL7,11/07/2020,8,chalut_vert,SCW1807_20200711_115000
0,AV+D,SSF,DEPL,DC70,18/07/2021,12,SSF,SCW6070_20210718_100600
197,D,F,DEPL,DOL7,11/07/2020,35,chalut_vert,SCW1807_20200711_114500
734,T,SSF,DEPL,DOL1,16/07/2020,6,SSF,SCW1807_20200716_063500
2135,D,F,CHAS,DOL7,11/07/2020,12,chalut_vert,SCW1807_20200711_114100
4,T,SSF,DEPL,DDD,17/07/2020,15,SSF,SCW1807_20200717_094100
53,AV,SSF,DEPL,NC,18/07/2021,12,SSF,SCW6070_20210718_091100
257,D+AP,F,DEPL,DOL1,12/07/2020,3,tremail,SCW1807_20200712_115300
247,D,SSF,SOCI,DOL4,11/07/2020,8,SSF,SCW1807_20200711_090400
31,D+AP,F,DEPL,DOL1,16/07/2020,3,tremail,SCW1807_20200716_102600
13,AP,F,DEPL,DOL1_N26,17/07/2020,4,tremail,SCW1807_20200717_090700
285,AV,F,DEPL,NC,12/07/2020,6,tremail,SCW1807_20200712_132000
648,D,F,DEPL,DOL1,12/07/2020,4,tremail,SCW1807_20200712_132900
150,T,SSF,DEPL,DDD,17/07/2020,15,SSF,SCW1807_20200717_094800
237,AP,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_071500
1012,D,F,DEPL,DOL7,11/07/2020,6,chalut_vert,SCW1807_20200711_115700
243,D,F,DEPL,DOL1,16/07/2020,6,tremail,SCW1807_20200716_073200
254,D,F,DEPL,DOL3,11/07/2020,3,chalut_blanc,SCW1807_20200711_131800
244,T,F,DEPL,DC,09/07/2021,14,grand_filet,SCW6070_20210709_102900
1004,T,F,DEPL,DOL3,12/07/2020,5,chalut_blanc,SCW1807_20200712_100900
54,D,SSF,SOCI,DOL4,11/07/2020,8,SSF,SCW1807_20200711_090500
827,T,F,DEPL,DOL1,16/07/2020,5,tremail,SCW1807_20200716_093600
407,AV+D,F,DEPL,DOL1_N26,17/07/2020,4,tremail,SCW1807_20200717_084200
593,D,F,DEPL,DOL4,11/07/2020,5,chalut_blanc,SCW1807_20200711_093800
26,T,F,DEPL,DOL1,16/07/2020,5,tremail,SCW1807_20200716_094400
20,AV,F,DEPL,NC,17/07/2020,25,tremail,SCW1807_20200717_083700
1126,D,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_095500
5,AP,F,DEPL,DOL3,11/07/2020,11,chalut_blanc,SCW1807_20200711_132200
450,T,F,DEPL,DOL5,12/07/2020,6,chalut_vert,SCW1807_20200712_140700
56,T,F,DEPL,DOL3,12/07/2020,15,chalut_blanc,SCW1807_20200712_094300
553,D,F,CHAS,DOL7,11/07/2020,8,chalut_vert,SCW1807_20200711_114900
2602,T,F,DEPL,DOL5,13/07/2020,10,chalut_vert,SCW1807_20200713_064400
722,D,F,DEPL,DOL5,12/07/2020,8,chalut_vert,SCW1807_20200712_134500
331,T,F,DEPL,DOL5,13/07/2020,8,chalut_vert,SCW1807_20200713_073400
13,D,SSF,DEPL,DC70,18/07/2021,12,SSF,SCW6070_20210718_090000
18,T,F,DEPL,DOL1,16/07/2020,5,tremail,SCW1807_20200716_094300
308,T,F,DEPL,DOL5,13/07/2020,8,chalut_vert,SCW1807_20200713_073900
502,D,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_095700
4,T,SSF,SOCI,DOL5,13/07/2020,6,SSF,SCW1807_20200713_082000
1757,D,F,CHAS,DOL1,16/07/2020,4,tremail,SCW1807_20200716_085900
149,D,F,DEPL,DOL1,16/07/2020,5,tremail,SCW1807_20200716_090600
812,AV+D,F,DEPL,DOL1_N26,17/07/2020,4,tremail,SCW1807_20200717_085700
368,AV+D,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_070600
31,T,F,DEPL,DOL5,12/07/2020,5,chalut_vert,SCW1807_20200712_142700
20,AP,F,DEPL,DOL1_N26,17/07/2020,7,tremail,SCW1807_20200717_081600
56,D+AP,F,DEPL,DOL3_N36,18/07/2020,10,chalut_vert,SCW1807_20200718_082400
469,AV+D,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_094400
17,T,F,DEPL,DOL1,16/07/2020,5,tremail,SCW1807_20200716_094500
45,T,F,DEPL,DOL1,16/07/2020,5,tremail,SCW1807_20200716_094000
1496,T,F,DEPL,DOL5,13/07/2020,8,chalut_vert,SCW1807_20200713_073600
242,AV,F,DEPL,NC,16/07/2020,4,tremail,SCW1807_20200716_104600
585,T,F,DEPL,DOL3,12/07/2020,15,chalut_blanc,SCW1807_20200712_094100
12,D+AP,SSF,DEPL,DOL1,16/07/2020,6,SSF,SCW1807_20200716_083600
559,D,F,DEPL,DOL7,11/07/2020,35,chalut_vert,SCW1807_20200711_114400
1103,D,F,DEPL,DOL1,16/07/2020,6,tremail,SCW1807_20200716_090200
48,D,F,DEPL,DOL1,12/07/2020,4,tremail,SCW1807_20200712_133100
3,AV,SSF,CHAS,NC,11/07/2021,5,SSF,SCW6070_20210711_073300
134,D,SSF,DEPL,DOL1,16/07/2020,6,SSF,SCW1807_20200716_071300
875,D,SSF,SOCI,DOL6,13/07/2020,6,SSF,SCW1807_20200713_075800
161,D+AP,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_094500
987,D,SSF,DEPL,DOL5,13/07/2020,10,SSF,SCW1807_20200713_063900
86,D,SSF,DEPL,DOL4,11/07/2020,7,SSF,SCW1807_20200711_084400
648,D,F,DEPL,DOL3_N36,18/07/2020,10,chalut_vert,SCW1807_20200718_082300
19,D,SSF,CHAS,DOL1,16/07/2020,40,SSF,SCW1807_20200716_082800
887,T,SSF,SOCI,DOL5,13/07/2020,5,SSF,SCW1807_20200713_091500
449,D,F,DEPL,DOL1,16/07/2020,6,tremail,SCW1807_20200716_090100
468,AV,SSF,DEPL,NC,09/07/2021,6,SSF,SCW6070_20210709_070500
825,D,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_095600
234,T,F,DEPL,DOL5,12/07/2020,2,chalut_vert,SCW1807_20200712_135800
134,T,F,DEPL,DOL3_N36,18/07/2020,2,chalut_vert,SCW1807_20200718_075300
82,D+AP,F,DEPL,DOL3_N36,18/07/2020,4,chalut_vert,SCW1807_20200718_081500
1868,D,F,DEPL,DOL5,12/07/2020,8,chalut_vert,SCW1807_20200712_134400
0,T,SSF,SOCI,DOL5,13/07/2020,4,SSF,SCW1807_20200713_094700
532,AV,F,DEPL,NC,18/07/2020,20,chalut_vert,SCW1807_20200718_085700
2131,T,F,DEPL,DOL5,13/07/2020,12,chalut_vert,SCW1807_20200713_064500
737,T,F,DEPL,DOL3,12/07/2020,5,chalut_blanc,SCW1807_20200712_101000
69,AP,F,DEPL,DC,09/07/2021,6,grand_filet,SCW6070_20210709_100700
49,D+AP,SSF,DEPL,DC70,11/07/2021,5,SSF,SCW6070_20210711_074200
0,T,F,DEPL,DOL5,13/07/2020,8,chalut_vert,SCW1807_20200713_074200
561,D,F,DEPL,DOL4,11/07/2020,8,chalut_blanc,SCW1807_20200711_093600
1154,AV,SSF,DEPL,NC,11/07/2020,4,SSF,SCW1807_20200711_083600
14,AV,F,DEPL,NC,16/07/2020,7,tremail,SCW1807_20200716_095100
259,D+AP,F,DEPL,DC,09/07/2021,6,grand_filet,SCW6070_20210709_100400
587,D,F,DEPL,DOL1,16/07/2020,5,tremail,SCW1807_20200716_090400
3,T,SSF,SOCI,DOL5,13/07/2020,4,SSF,SCW1807_20200713_094800
114,AV+D,SSF,DEPL,DC70,18/07/2021,12,SSF,SCW6070_20210718_091200
95,AV+D,F,DEPL,DOL7,11/07/2020,5,chalut_vert,SCW1807_20200711_101700
7,T,SSF,DEPL,DC70,11/07/2021,10,SSF,SCW6070_20210711_055700
671,D,F,DEPL,DOL1_N26,17/07/2020,4,tremail,SCW1807_20200717_085900
302,D,F,DEPL,DOL3,11/07/2020,3,chalut_blanc,SCW1807_20200711_131700
0,T,SSF,DEPL,DC70,11/07/2021,10,SSF,SCW6070_20210711_055900
60,T,F,DEPL,DOL5,13/07/2020,8,chalut_vert,SCW1807_20200713_085600
1232,D,F,CHAS,DOL7,11/07/2020,8,chalut_vert,SCW1807_20200711_115200
14,T,SSF,DEPL,DC70,11/07/2021,10,SSF,SCW6070_20210711_055800
15,T,SSF,DEPL,DOL3,14/07/2020,5,SSF,SCW1807_20200714_064400
105,T,F,DEPL,DOL3,12/07/2020,15,chalut_blanc,SCW1807_20200712_094200
437,AV+D,F,DEPL,DOL1,12/07/2020,3,tremail,SCW1807_20200712_132700
177,D,SSF,SOCI,DOL4,11/07/2020,8,SSF,SCW1807_20200711_090100
66,T,F,DEPL,DOL5,12/07/2020,6,chalut_vert,SCW1807_20200712_140500
209,AV+D,SSF,DEPL,DOL1,16/07/2020,6,SSF,SCW1807_20200716_065600
1150,AV,SSF,DEPL,NC,12/07/2020,12,SSF,SCW1807_20200712_090300
1847,D,SSF,CHAS,DOL1,16/07/2020,40,SSF,SCW1807_20200716_082600
255,AP,F,DEPL,DOL1_N26,17/07/2020,4,tremail,SCW1807_20200717_090600
32,D,F,DEPL,DOL1,12/07/2020,6,tremail,SCW1807_20200712_132100
107,T,SSF,SOCI,DOL5,13/07/2020,6,SSF,SCW1807_20200713_081800
55,D,F,DEPL,DOL3_N36,18/07/2020,3,chalut_vert,SCW1807_20200718_080100
49,D,F,DEPL,DOL1,16/07/2020,3,tremail,SCW1807_20200716_102500
261,T,F,DEPL,DOL1,16/07/2020,5,tremail,SCW1807_20200716_093500
320,T,F,DEPL,DOL1,16/07/2020,5,tremail,SCW1807_20200716_093800
244,T,F,DEPL,DC,09/07/2021,14,grand_filet,SCW6070_20210709_102800
958,D,F,DEPL,DOL3_N36,17/07/2020,8,chalut_vert,SCW1807_20200717_065200
905,D,F,DEPL,DOL1,16/07/2020,6,tremail,SCW1807_20200716_090300
9,T,F,DEPL,DOL5,12/07/2020,2,chalut_vert,SCW1807_20200712_140100
59,T,F,DEPL,DOL5,12/07/2020,5,chalut_vert,SCW1807_20200712_142600
113,AP,F,DEPL,DOL3_N36,18/07/2020,4,chalut_vert,SCW1807_20200718_081700
2584,AV+D,F,CHAS,DOL1,16/07/2020,4,tremail,SCW1807_20200716_085800
1114,AV,SSF,DEPL,NC,13/07/2020,30,SSF,SCW1807_20200713_063700
1796,AV,F,DEPL,NC,17/07/2020,10,chalut_vert,SCW1807_20200717_070300
564,D,F,DEPL,DOL1_N26,17/07/2020,12,tremail,SCW1807_20200717_081000
52,AV,SSF,CHAS,NC,16/07/2020,15,SSF,SCW1807_20200716_083200
90,T,SSF,DEPL,DDD,17/07/2020,15,SSF,SCW1807_20200717_094600
254,D,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_073700
238,AP,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_071300
51,T,F,DEPL,DOL5,12/07/2020,2,chalut_vert,SCW1807_20200712_135900
11,AV,SSF,DEPL,NC,11/07/2020,12,SSF,SCW1807_20200711_082500
320,D,F,DEPL,DOL3_N36,17/07/2020,8,chalut_vert,SCW1807_20200717_065300
784,D,SSF,DEPL,DOL4,11/07/2020,7,SSF,SCW1807_20200711_084100
10,T,F,DEPL,DOL3,14/07/2020,3,chalut_blanc,SCW1807_20200714_091200
136,AP,F,DEPL,DOL3_N36,17/07/2020,8,chalut_vert,SCW1807_20200717_065500
570,T,SSF,DEPL,DOL3,14/07/2020,6,SSF,SCW1807_20200714_090300
212,T,F,DEPL,DC,09/07/2021,14,grand_filet,SCW6070_20210709_102700
77,D,SSF,DEPL,DOL1,16/07/2020,6,SSF,SCW1807_20200716_071500
16,D+AP,F,DEPL,DOL1,16/07/2020,4,tremail,SCW1807_20200716_104900
301,AP,F,CHAS,DOL3_N36,18/07/2020,10,chalut_vert,SCW1807_20200718_084900
500,T,SSF,CHAS,DC,09/07/2021,15,SSF,SCW6070_20210709_104200
104,AV,SSF,SOCI,NC,13/07/2020,6,SSF,SCW1807_20200713_075400
41,T,SSF,SOCI,DOL5,13/07/2020,6,SSF,SCW1807_20200713_092200
121,T,SSF,DEPL,DOL3,14/07/2020,6,SSF,SCW1807_20200714_090200
462,D,SSF,DEPL,DC,09/07/2021,14,SSF,SCW6070_20210709_085800
1,AV+D,SSF,DEPL,DC70,11/07/2021,5,SSF,SCW6070_20210711_073400
165,D,F,DEPL,DOL5,12/07/2020,8,chalut_vert,SCW1807_20200712_134300
411,AV+D,F,DEPL,DOL1,16/07/2020,4,tremail,SCW1807_20200716_104700
1573,AV+D,F,DEPL,DOL1_N26,17/07/2020,10,tremail,SCW1807_20200717_091800
110,T,SSF,SOCI,DOL5,13/07/2020,5,SSF,SCW1807_20200713_091700
700,D,SSF,CHAS,DC,09/07/2021,12,SSF,SCW6070_20210709_121100
1560,AV+D,SSF,DEPL,DOL7,13/07/2020,12,SSF,SCW1807_20200713_114900
3,T,F,DEPL,DOL5,13/07/2020,10,chalut_vert,SCW1807_20200713_064800
5,T,F,DEPL,DOL5,13/07/2020,10,chalut_vert,SCW1807_20200713_072200
218,D,F,DEPL,DOL5,12/07/2020,8,chalut_vert,SCW1807_20200712_134600
2094,D,SSF,CHAS,DOL1,16/07/2020,40,SSF,SCW1807_20200716_082500
10,T,F,DEPL,DOL5,12/07/2020,2,chalut_vert,SCW1807_20200712_140000
2019,D,F,CHAS,DOL1,16/07/2020,8,tremail,SCW1807_20200716_100900
209,T,F,DEPL,DOL5,13/07/2020,8,chalut_vert,SCW1807_20200713_073800
291,D,F,CHAS,DOL1,16/07/2020,8,tremail,SCW1807_20200716_101000
44,D+AP,F,DEPL,DOL4,12/07/2020,12,chalut_blanc,SCW1807_20200712_091000
497,D,F,DEPL,DOL1,16/07/2020,7,tremail,SCW1807_20200716_095600
30,D+AP,SSF,DEPL,DC70,11/07/2021,5,SSF,SCW6070_20210711_073700
0,T,F,DEPL,DOL5,13/07/2020,10,chalut_vert,SCW1807_20200713_072300
0,AP,SSF,DEPL,DC70,11/07/2021,5,SSF,SCW6070_20210711_073800
493,AV+D,F,DEPL,DOL3,11/07/2020,3,chalut_blanc,SCW1807_20200711_131600
13,D,SSF,DEPL,DC70,18/07/2021,12,SSF,SCW6070_20210718_090700
866,D,F,DEPL,DOL1_N26,17/07/2020,4,tremail,SCW1807_20200717_085800
547,AV+D,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_073500
46,D,F,DEPL,DOL4,11/07/2020,5,chalut_blanc,SCW1807_20200711_094000
247,AV,SSF,DEPL,NC,09/07/2021,6,SSF,SCW6070_20210709_073400
30,AV,SSF,DEPL,NC,18/07/2021,12,SSF,SCW6070_20210718_091600
320,D,SSF,DEPL,DOL6,13/07/2020,6,SSF,SCW1807_20200713_075700
1461,AV,SSF,DEPL,NC,12/07/2020,12,SSF,SCW1807_20200712_090400
928,AV+D,SSF,DEPL,DOL5,13/07/2020,10,SSF,SCW1807_20200713_063800
1003,D,SSF,DEPL,DOL1,12/07/2020,3,SSF,SCW1807_20200712_115000
0,T,F,DEPL,DOL5,13/07/2020,10,chalut_vert,SCW1807_20200713_064900
1258,AV+D,SSF,DEPL,DOL1,16/07/2020,40,SSF,SCW1807_20200716_082400
1889,D,F,CHAS,DOL1,16/07/2020,8,tremail,SCW1807_20200716_100800
14,AV+D,SSF,DEPL,DC70,18/07/2021,12,SSF,SCW6070_20210718_091700
81,T,F,DEPL,DOL1,16/07/2020,5,tremail,SCW1807_20200716_094200
980,D,F,DEPL,DOL1_N26,17/07/2020,4,tremail,SCW1807_20200717_090100
356,D,F,DEPL,DC,09/07/2021,6,grand_filet,SCW6070_20210709_100100
1,AV,SSF,DEPL,NC,18/07/2021,12,SSF,SCW6070_20210718_100500
6,D+AP,SSF,DEPL,DOL4,11/07/2020,7,SSF,SCW1807_20200711_084600
661,AV+D,F,DEPL,DOL1,16/07/2020,2,tremail,SCW1807_20200716_102300
176,T,F,DEPL,DOL5,13/07/2020,8,chalut_vert,SCW1807_20200713_085300
14,T,F,DEPL,DOL5,12/07/2020,2,chalut_vert,SCW1807_20200712_140200
131,T,F,DEPL,DOL5,13/07/2020,8,chalut_vert,SCW1807_20200713_085400
19,D,F,SOCI,DOL1,16/07/2020,7,tremail,SCW1807_20200716_095800
303,AP,F,CHAS,DOL3_N36,18/07/2020,10,chalut_vert,SCW1807_20200718_084700
296,D,F,DEPL,DOL3_N36,18/07/2020,3,chalut_vert,SCW1807_20200718_080800
171,T,SSF,SOCI,DOL5,13/07/2020,5,SSF,SCW1807_20200713_092400
826,D+AP,F,DEPL,DOL1_N26,17/07/2020,4,tremail,SCW1807_20200717_090200
431,D,F,DEPL,DOL1,16/07/2020,7,tremail,SCW1807_20200716_095300
310,D,SSF,SOCI,DOL4,11/07/2020,8,SSF,SCW1807_20200711_085600
42,D,F,SOCI,DOL1,16/07/2020,4,tremail,SCW1807_20200716_074000
87,AP,F,DEPL,DOL3_N36,17/07/2020,5,chalut_vert,SCW1807_20200717_070700
58,AV+D,F,DEPL,DOL1,16/07/2020,5,tremail,SCW1807_20200716_091000
45,T,F,DEPL,DOL3,14/07/2020,2,chalut_blanc,SCW1807_20200714_091000
1,AP,F,DEPL,DOL1,16/07/2020,8,tremail,SCW1807_20200716_101300
601,D,F,DEPL,DOL3_N36,17/07/2020,5,chalut_vert,SCW1807_20200717_070500
32,AP,F,DEPL,DOL1_N26,17/07/2020,10,tremail,SCW1807_20200717_092200
430,T,SSF,CHAS,DC,09/07/2021,20,SSF,SCW6070_20210709_104300
429,D,SSF,DEPL,DOL7,13/07/2020,12,SSF,SCW1807_20200713_115000
1391,AV+D,SSF,SOCI,DOL1,12/07/2020,6,SSF,SCW1807_20200712_114800
268,D,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_073800
7,D+AP,F,DEPL,DOL1_N26,17/07/2020,20,tremail,SCW1807_20200717_084400
607,D+AP,F,DEPL,DOL1_N26,17/07/2020,20,tremail,SCW1807_20200717_081300
1123,D,F,DEPL,DOL7,11/07/2020,35,chalut_vert,SCW1807_20200711_114300
839,D,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_095900
244,AP,SSF,DEPL,DC,09/07/2021,6,SSF,SCW6070_20210709_071200
63,AV+D,F,CHAS,DOL3_N36,18/07/2020,10,chalut_vert,SCW1807_20200718_084500
2,T,SSF,SOCI,DOL5,13/07/2020,5,SSF,SCW1807_20200713_091900
176,T,F,DEPL,DOL5,12/07/2020,3,chalut_vert,SCW1807_20200712_135700
269,D,F,DEPL,DOL3_N36,18/07/2020,3,chalut_vert,SCW1807_20200718_080900
412,D,F,DEPL,DOL3_N36,18/07/2020,1,chalut_vert,SCW1807_20200718_081200
533,D,F,DEPL,DOL4,11/07/2020,8,chalut_blanc,SCW1807_20200711_093400
481,AP,F,CHAS,DOL3_N36,18/07/2020,10,chalut_vert,SCW1807_20200718_084800
405,D,SSF,SOCI,DOL4,11/07/2020,8,SSF,SCW1807_20200711_085500
94,AV+D,F,DEPL,DOL1_N26,17/07/2020,7,tremail,SCW1807_20200717_081900
729,D,F,DEPL,DOL1,12/07/2020,3,tremail,SCW1807_20200712_115100
2245,AV,F,DEPL,NC,17/07/2020,10,tremail,SCW1807_20200717_091700
1796,AV+D,F,DEPL,DOL3_N36,17/07/2020,10,chalut_vert,SCW1807_20200717_070400
27,D,SSF,DEPL,DC70,11/07/2021,5,SSF,SCW6070_20210711_073600
873,D,F,DEPL,DOL1,16/07/2020,6,tremail,SCW1807_20200716_073100
1257,D,F,DEPL,DOL4,11/07/2020,8,chalut_blanc,SCW1807_20200711_093300
391,AV+D,SSF,DEPL,DC70,18/07/2021,12,SSF,SCW6070_20210718_090600
2,AP,F,DEPL,DOL3_N36,17/07/2020,12,chalut_vert,SCW1807_20200717_071800
424,T,F,DEPL,DOL5,13/07/2020,10,chalut_vert,SCW1807_20200713_072000
36,T,F,DEPL,DOL5,12/07/2020,3,chalut_vert,SCW1807_20200712_135500
787,AP,F,DEPL,DOL1_N26,17/07/2020,4,tremail,SCW1807_20200717_090300
4,T,SSF,SOCI,DOL5,13/07/2020,5,SSF,SCW1807_20200713_091800
34,AV,F,DEPL,NC,11/07/2020,3,chalut_blanc,SCW1807_20200711_131500
2393,AV+D,SSF,CHAS,DC,09/07/2021,12,SSF,SCW6070_20210709_120900
205,D,F,DEPL,DOL3_N36,18/07/2020,4,chalut_vert,SCW1807_20200718_081400
515,D,F,DEPL,DOL3_N36,17/07/2020,12,chalut_vert,SCW1807_20200717_071500
881,D,F,DEPL,DOL3_N36,18/07/2020,4,chalut_vert,SCW1807_20200718_081300
35,AP,F,DEPL,DOL1_N26,17/07/2020,7,tremail,SCW1807_20200717_081800
